week,active_partners,active_non_partners,bookers_partners,bookers_non_partners,bookings_flights,bookings_hotels,bookings_cars,bookings_cruises,take_usd_flights,take_usd_hotels,take_usd_cars,take_usd_cruises,bookings_total,take_usd_total,new_accounts_partners,new_accounts_non_partners,churn_rate_partners,churn_rate_non_partners,churned_partners,churned_non_partners,churned_total
1,82500.0,67500.0,82500.0,67500.0,17293.26923076923,3957.2596153846157,1401.4903846153845,202.18269230769232,86466.34615384616,174119.4230769231,7007.451923076923,44480.19230769231,22854.201923076922,312073.4134615385,596.22,1107.26,0.00238,0.00307,196.35000000000002,207.225,403.57500000000005
2,82899.87,68400.03499999999,82899.87,68400.03499999999,17377.088134615384,3992.601598557692,1412.3814951923075,204.3965243461538,86885.44067307693,175674.47033653845,7061.907475961538,44967.23535615383,22986.46775271154,314589.05384173075,1043.38,1937.72,0.00238,0.00307,195.882687,206.58881924999997,402.47150624999995
3,83312.89798853254,69324.29874220412,83312.89798853254,69324.29874220412,17463.665155288552,4028.954543307203,1423.592443605005,206.67160013685242,87318.32577644277,177273.99990551695,7117.962218025024,45467.752030107535,23122.883742337614,317178.0399300923,1043.38,1937.72,0.00238,0.00307,195.41648620493999,205.95459157490248,401.3710777798425
4,83356.84247355,69562.87596307875,83356.84247355,69562.87596307875,17472.876595417212,4036.7787153578893,1425.7884932778989,207.21571285419057,87364.38297708606,177618.26347574714,7128.942466389494,45587.456827921924,23142.65951690719,317699.0457471446,1043.38,1937.72,0.00238,0.00307,194.95139496777222,205.32231097876752,400.27370594653974
5,83344.34730344394,69696.40398661881,83344.34730344394,69696.40398661881,17470.257415529595,4040.234808827428,1426.6046033022353,207.49470923008846,87351.28707764798,177770.33158840684,7133.023016511177,45648.83603061946,23144.591536889347,317903.4777131855,1032.82,1918.11,0.00238,0.00307,194.4874106477489,204.69197148406272,399.1793821318116
6,83285.16996249808,69743.00600073293,83285.16996249808,69743.00600073293,17457.852934446713,4040.076917972072,1426.2790700107507,207.55434147575997,87289.26467223356,177763.38439077116,7131.395350053754,45661.95512466719,23131.763263905297,317845.99953772564,969.47,1800.43,0.00238,0.00307,194.02453061040725,204.06356713160665,398.08809774201393
7,83144.59492945192,69638.17809939464,83144.59492945192,69638.17809939464,17428.386244827423,4033.6214059715912,1423.9638984062974,207.2317778001265,87141.93122413711,177479.34186275,7119.819492031487,45590.991116027835,23093.203327005438,317332.0836949464,969.47,1800.43,0.00238,0.00307,193.56275222755448,203.43709198051258,396.9998442080671
8,83030.47459329525,69582.27069077757,83030.47459329525,69582.27069077757,17404.464866671504,4029.204331290284,1422.293259355523,207.03279438090493,87022.32433335752,177284.99057677248,7111.466296777616,45547.214763799086,23062.995251698216,316965.9959707067,969.47,1800.43,0.00238,0.00307,193.10207287725288,202.81254010813242,395.9146129853853
9,82903.29067950492,69501.87319990668,82903.29067950492,69501.87319990668,17377.805161665456,4023.771271606586,1420.301964111512,206.77206932145816,86889.02580832728,177045.9359506898,7101.50982055756,45489.85525072079,23028.65046670501,316526.32683029544,969.47,1800.43,0.00238,0.00307,192.642489943805,202.18990561000047,394.83239555380544
10,82761.7538017838,69394.59026712415,82761.7538017838,69394.59026712415,17348.13685460468,4017.2225642572953,1417.9585198192885,206.44355569272622,86740.68427302339,176757.79282732098,7089.792599096443,45417.58225239977,22989.76149437399,316005.85195184057,923.42,1714.93,0.00238,0.00307,192.18400081773873,201.56918259977772,393.7531834175164
